Distance (cm),Red-Red,Green-Red,Blue-Red,Red-Green,Green-Green,Blue-Green,Red-Blue,Green-Blue,Blue-Blue
0,196,1232,201,13.4,17.5,232,0.95,0.95,298
5,13.7,42,16.1,0.5,1.1,12.9,0.95,0.95,9
10,11.4,20,10.5,0.5,0.5,4,0.95,0.95,3.4
15,9.8,13.5,9.6,0.5,0.5,2,0.95,0.95,2.1
20,9,10.9,9,0.5,0.5,1.3,0.95,0.95,1.6
25,8.7,10,8.7,0.5,0.5,0.9,0.95,0.95,1.4
30,8.4,9.5,8.4,0.5,0.5,0.8,0.95,0.95,1.2
35,8.4,9,8.3,0.5,0.5,0.7,0.95,0.95,1.2
40,8.4,8.9,8.2,0.5,0.5,0.6,0.95,0.95,1.1
