Distance (cm),Red-Red,Green-Red,Blue-Red,Red-Green,Green-Green,Blue-Green,Red-Blue,Green-Blue,Blue-Blue
0,740,1050,69.4,1,13.6,458,0.6,0.6,130.4
5,45,67.6,15.8,1,1.7,26,0.6,0.6,5.6
10,22.6,28.6,14.2,1,1.3,8.3,0.6,0.6,2.3
15,18,20.8,13.9,1,1.1,4.6,0.6,0.6,1.3
20,15.5,17.2,13.5,1,1.1,3.4,0.6,0.6,1
25,14.6,15.5,13.3,1,1.1,2.6,0.6,0.6,0.8
30,14,14.6,13.3,1,1.1,2.1,0.6,0.6,0.8
35,13.6,13.6,13.1,1,1.1,1.7,0.6,0.6,0.8
40,13.4,13.3,13.1,1,1.1,1.6,0.6,0.6,0.8
