Distance (cm),Red-Red,Green-Red,Blue-Red,Red-Green,Green-Green,Blue-Green,Red-Blue,Green-Blue,Blue-Blue
0,1389,758,48,3.2,19.6,298,0.25,0.25,20.8
5,242,87,37.6,0.5,1.4,13.4,0.25,0.25,1
10,102,56,37.6,0.5,0.9,3.6,0.25,0.25,0.5
15,72,47,37.6,0.5,0.5,2,0.25,0.25,0.25
20,56,43.9,37.6,0.5,0.5,1.2,0.25,0.25,0.25
25,47.6,40,37.6,0.5,0.5,1,0.25,0.25,0.25
30,45,37.8,37.6,0.5,0.5,0.9,0.25,0.25,0.25
35,41.6,37.2,37.6,0.5,0.5,0.9,0.25,0.25,0.25
40,40.2,36.9,37.6,0.5,0.5,0.8,0.25,0.25,0.25
